command,command_key,base_command,category,description,examples,source_line,source_page,canonical_source,source_files,status,duplicate_type,duplicate_of,quality_flags,confidence
useradd -m username,useradd -m username,useradd,Users & Permissions,Sekcja Komend 119,useradd -m username,6308,119,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,useradd -m username,,high
useradd -r -s /usr/sbin/nologin svc_name,useradd -r -s /usr/sbin/nologin svc_name,useradd,Users & Permissions,Separate service accounts: .,useradd -r -s /usr/sbin/nologin svc_name,6318,120,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
useradd -r sysuser,useradd -r sysuser,useradd,Users & Permissions,Sekcja Komend,useradd -r sysuser,6323,120,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,useradd -r sysuser,weak_description,high
useradd -s,useradd -s,useradd,Users & Permissions,Określa powłokę,useradd -s /sbin/nologin service,6328,120,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
useradd -u 1500 user,useradd -u 1500 user,useradd,Users & Permissions,Sekcja Komend,useradd -u 1500 user,6333,120,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,useradd -u 1500 user,weak_description,high
useradd username,useradd username,useradd,Users & Permissions,Sekcja Komend,useradd username,6338,120,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,useradd username,weak_description,high
userdel,userdel,userdel,Users & Permissions,Usuwa użytkownika,userdel john,6343,120,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
userdel -f user,userdel -f user,userdel,Users & Permissions,Sekcja Komend,userdel -f user,6348,120,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
userdel -r,userdel -r,userdel,Users & Permissions,Usuwa z katalogiem domowym 120,userdel -r john,6353,120,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
userdel -r user,userdel -r user,userdel,Users & Permissions,Sekcja Komend,userdel -r user,6363,121,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
userdel -r user1 # usuń z katalogiem domowym,userdel -r user1 # usuń z katalogiem domowym,userdel,Users & Permissions,/etc/modprobe.d/bonding.conf,userdel -r user1 # usuń z katalogiem domowym,6368,121,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
userdel user,userdel user,userdel,Users & Permissions,Sekcja Komend,userdel user,6373,121,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
usermod,usermod,usermod,Users & Permissions,Modyfikuje użytkownika,usermod -aG wheel john,6378,121,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,command_index,usermod,,high
"usermod -G g1,g2","usermod -G g1,g2",usermod,Users & Permissions,Sekcja Komend,"usermod -G g1,g2",6383,121,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,"usermod -G g1,g2",weak_description,high
usermod -L,usermod -L,usermod,Users & Permissions,Blokuje konto (zablokuj hasło),usermod -L john,6388,121,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
usermod -L user,usermod -L user,usermod,Users & Permissions,Sekcja Komend,usermod -L user,6393,121,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -L user,weak_description,high
usermod -U,usermod -U,usermod,Users & Permissions,Odblokowuje konto 121,usermod -U john,6398,121,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
usermod -U user,usermod -U user,usermod,Users & Permissions,Sekcja Komend,usermod -U user,6408,122,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -U user,weak_description,high
usermod -aG,usermod -aG,usermod,Users & Permissions,Dodaje do grupy (append),usermod -aG docker john,6413,122,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
usermod -aG group,usermod -aG group,usermod,Users & Permissions,Sekcja Komend,usermod -aG group,6418,122,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -aG group,weak_description,high
usermod -aG sudo alice,usermod -aG sudo alice,usermod,Users & Permissions,add to group. CAUTION,usermod -aG sudo alice,6423,122,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
usermod -aG wheel user1 # dodaj do grupy,usermod -aG wheel user1 # dodaj do grupy,usermod,Users & Permissions,/etc/modprobe.d/bonding.conf,usermod -aG wheel user1 # dodaj do grupy,6428,122,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
usermod -c 'Nowy,usermod -c 'Nowy,usermod,Users & Permissions,Sekcja Komend,usermod -c 'Nowy,6433,122,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -c 'Nowy,weak_description,high
usermod -d /new/home,usermod -d /new/home,usermod,Users & Permissions,Sekcja Komend,usermod -d /new/home,6438,122,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -d /new/home,weak_description,high
usermod -e,usermod -e,usermod,Users & Permissions,Sekcja Komend 122,usermod -e,6443,122,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -e,,high
usermod -e '' user,usermod -e '' user,usermod,Users & Permissions,Sekcja Komend,usermod -e '' user,6453,123,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -e '' user,weak_description,high
usermod -g group,usermod -g group,usermod,Users & Permissions,Sekcja Komend,usermod -g group,6458,123,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -g group,weak_description,high
usermod -l newname,usermod -l newname,usermod,Users & Permissions,Sekcja Komend,usermod -l newname,6463,123,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -l newname,weak_description,high
usermod -s /bin/zsh,usermod -s /bin/zsh,usermod,Users & Permissions,Sekcja Komend,usermod -s /bin/zsh,6468,123,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -s /bin/zsh,weak_description,high
usermod -u 1600 user,usermod -u 1600 user,usermod,Users & Permissions,Sekcja Komend,usermod -u 1600 user,6473,123,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,usermod -u 1600 user,weak_description,high
vigr,vigr,vigr,Users & Permissions,Bezpieczna edycja /etc/group,vigr,6478,123,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,canonical+command_index,vigr,,high
vipw,vipw,vipw,Users & Permissions,Bezpieczna edycja /etc/passwd,vipw,6483,123,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,canonical+command_index,vipw,,high
visudo,visudo,visudo,Users & Permissions,safe sudoers edit. CAUTION 123,visudo,6488,123,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | komendy,duplicate_existing,canonical+command_index,visudo,,high
w,w,w,Users & Permissions,Command — klawisz : Tryb komend # Szukaj sowa pod kursorem (do tyu),w,6498,124,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,w,,high
w kronice. *writeback:,w kronice. *writeback:,w,Users & Permissions,,w kronice. * `writeback`:,6503,124,runtime/knowledge/source/linux_master_library_v1.pdf,encyklopedia_inzynierii_linux.pdf,candidate,,,,high
"w pamięci fizycznej (np. jest współdzielona z inną aplikacją), ale nie została jeszcze","w pamięci fizycznej (np. jest współdzielona z inną aplikacją), ale nie została jeszcze",w,Users & Permissions,"zmapowana w tablicy stron Sekwencja REISUB (Synchronizacja dysków, Odmontowanie, Natychmiastowy restart)","w pamięci fizycznej (np. jest współdzielona z inną aplikacją), ale nie została jeszcze zmapowana w tablicy st",6507,,runtime/knowledge/source/linux_master_library_v1.pdf,encyklopedia_inzynierii_linux.pdf,candidate,,,,high
who,who,who,Users & Permissions,Zalogowani użytkownicy,who | who -H,6513,124,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,canonical+command_index,who,,high
whoami,whoami,whoami,Users & Permissions,Aktualny użytkownik,whoami,6519,124,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,canonical+command_index,whoami,,high
/etc/hostname,/etc/hostname,/etc/hostname,Networking,Stała nazwa hosta,/etc/hostname,6525,124,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,malformed,command_index,/etc/hostname,path_not_command,none
/etc/hosts,/etc/hosts,/etc/hosts,Networking,Lokalne mapowania,/etc/hosts,6530,124,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,malformed,command_index,/etc/hosts,path_not_command,none
/etc/resolv.conf,/etc/resolv.conf,/etc/resolv.conf,Networking,Serwery DNS 124,/etc/resolv.conf,6535,124,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,malformed,command_index,/etc/resolv.conf,path_not_command,none
NetworkManager,networkmanager,networkmanager,Networking,Daemon systemctl,NetworkManager,6545,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | linux_engineering_book.pdf,candidate,,,,high
ab,ab,ab,Networking,Apache benchmark,ab -n 1000 -c 10 http://localhost/,6551,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
arptables,arptables,arptables,Networking,ARP firewall,arptables -L,6556,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
brctl,brctl,brctl,Networking,Legacy bridge,brctl,6561,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
bridge,bridge,bridge,Networking,Bridge management,bridge link,6566,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
bridge fdb,bridge fdb,bridge,Networking,Forwarding database,bridge fdb,6571,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
conntrack,conntrack,conntrack,Networking,Connection tracking,conntrack -L,6576,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
conntrack -D,conntrack -D,conntrack,Networking,Usuwa conntrack 125,conntrack -D --src 192.168.1.100,6581,125,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl,curl,curl,Networking,Transfer danych URL,curl -O http://example.com/file,6591,126,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,canonical+command_index,curl,,high
curl --cookie,curl --cookie,curl,Networking,Cookie,"curl --cookie ""session=abc"" http://localhost",6596,126,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl --cookie-jar,curl --cookie-jar,curl,Networking,Zapisuje cookies,curl --cookie-jar cookies.txt http://localhost,6601,126,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -F,curl -F,curl,Networking,Multipart form,"curl -F ""file=@upload.txt"" http://localhost/upload",6606,126,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -H,curl -H,curl,Networking,Custom header,"curl -H ""X-Custom: value"" http://localhost",6611,126,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -I,curl -I,curl,Networking,Sekcja Komend,curl -I http://localhost | curl -I,6616,126,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
curl -I https://example.com,curl -I https://example.com,curl,Networking,headers only. SAFE,curl -I https://example.com,6622,126,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
curl -L,curl -L,curl,Networking,Follow redirects 126,curl -L http://bit.ly/xxx,6627,126,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -X,curl -X,curl,Networking,HTTP method,curl -X,6637,127,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -d,curl -d,curl,Networking,POST data,"curl -d ""name=john"" http://localhost/form",6642,127,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -k,curl -k,curl,Networking,Ignore SSL,curl -k https://localhost,6647,127,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -o file.iso https://example.com/file.iso,curl -o file.iso https://example.com/file.iso,curl,Networking,download. SAFE,curl -o file.iso https://example.com/file.iso,6652,127,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
curl -o file.zip https://example.com/file # pobieranie,curl -o file.zip https://example.com/file # pobieranie,curl,Networking,8.4 Diagnostyka Sieci,curl -o file.zip https://example.com/file # pobieranie,6657,127,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
curl -u,curl -u,curl,Networking,Basic auth,curl -u user:pass http://localhost,6662,127,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
curl -v http://localhost:80,curl -v http://localhost:80,curl,Networking,HTTP test. SAFE,curl -v http://localhost:80,6667,127,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
curl -v https://example.com # verbose,curl -v https://example.com # verbose,curl,Networking,8.4 Diagnostyka Sieci 127,curl -v https://example.com # verbose,6672,127,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
dhclient,dhclient,dhclient,Networking,DHCP client,dhclient -r eth0,6682,128,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
dig,dig,dig,Networking,Szczegółowe zapytania DNS,dig @8.8.8.8 google.com,6687,128,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
dig +short,dig +short,dig,Networking,Krótki wynik,dig +short google.com,6692,128,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
dig +short google.com,dig +short google.com,dig,Networking,DNS A record. SAFE,dig +short google.com,6697,128,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
dig +short hostname,dig +short hostname,dig,Networking,Sekcja Komend,dig +short hostname,6702,128,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
dig +trace,dig +trace,dig,Networking,Trace DNS resolution,dig +trace google.com,6707,128,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
dig +trace hostname led cae zapytanie,dig +trace hostname led cae zapytanie,dig,Networking,Sekcja Komend,dig +trace hostname led cae zapytanie,6712,128,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
dig -x 8.8.8.8,dig -x 8.8.8.8,dig,Networking,Sekcja Komend 128,dig -x 8.8.8.8,6717,128,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,,high
dig @8.8.8.8,dig @8.8.8.8,dig,Networking,Sekcja Komend,dig @8.8.8.8,6727,129,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
dig @8.8.8.8 example.com,dig @8.8.8.8 example.com,dig,Networking,Diagnostyka,dig @8.8.8.8 example.com,6732,129,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
dig @8.8.8.8 google.com,dig @8.8.8.8 google.com,dig,Networking,specific resolver. SAFE,dig @8.8.8.8 google.com,6737,129,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
dig example.com # zapytanie,dig example.com # zapytanie,dig,Networking,Diagnostyka,dig example.com # zapytanie,6742,129,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
dig example.com →,dig example.com →,dig,Networking,Dodatek B: Komendy Ratunkowe,dig example.com →,6747,129,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
dig hostname,dig hostname,dig,Networking,Sekcja Komend,dig hostname,6752,129,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
dnsmasq,dnsmasq,dnsmasq,Networking,DNS/DHCP server,dnsmasq --interface=eth0,6757,129,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
ebtables,ebtables,ebtables,Networking,Ethernet bridge firewall 129,ebtables -L,6762,129,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
ethtool,ethtool,ethtool,Networking,Ustawienia karty sieciowej,ethtool eth0,6772,130,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
ethtool -S eth0,ethtool -S eth0,ethtool,Networking,NIC statistics. SAFE,ethtool -S eth0,6777,130,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
ethtool -S eth0 # statystyki sterownika,ethtool -S eth0 # statystyki sterownika,ethtool,Networking,8.4 Diagnostyka Sieci,ethtool -S eth0 # statystyki sterownika,6782,130,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
ethtool -s,ethtool -s,ethtool,Networking,Zmiana parametrów,ethtool -s eth0 speed 1000 duplex full,6787,130,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
ethtool eth0,ethtool eth0,ethtool,Networking,driver/hardware settings. SAFE,ethtool eth0,6792,130,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
ethtool eth0 # parametry karty sieciowej,ethtool eth0 # parametry karty sieciowej,ethtool,Networking,7.4 Narzędzia Diagnostyczne Sprzętu,ethtool eth0 # parametry karty sieciowej,6797,130,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
exportfs,exportfs,exportfs,Networking,Manage NFS exports,exportfs -a | exportfs,6802,130,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,exportfs,,high
exportfs -a,exportfs -a,exportfs,Networking,Sekcja Komend 130,exportfs -a,6808,130,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,,high
exportfs -r,exportfs -r,exportfs,Networking,Sekcja Komend,exportfs -r,6818,131,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
exportfs -ra,exportfs -ra,exportfs,Networking,/etc/exports,exportfs -ra,6823,131,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
exportfs -s,exportfs -s,exportfs,Networking,Sekcja Komend,exportfs -s,6828,131,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
exportfs -u,exportfs -u,exportfs,Networking,Un-export,exportfs -u /export,6833,131,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
exportfs -ua,exportfs -ua,exportfs,Networking,Sekcja Komend,exportfs -ua,6838,131,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
exportfs -v,exportfs -v,exportfs,Networking,Sekcja Komend,exportfs -v,6843,131,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
firewall-cmd,firewall-cmd,firewall-cmd,Networking,Komentarz Komentarz w skrypcie function myfunc() { Definicja funkcji,firewall-cmd --state | firewall-cmd,6848,131,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,firewall-cmd,,high
firewall-cmd --add-interface,firewall-cmd --add-interface,firewall-cmd,Networking,Dodaje interfejs do strefy 131,firewall-cmd --add-interface=eth1 --zone=internal,6854,131,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --add-p,firewall-cmd --add-p,firewall-cmd,Networking,Sekcja Komend,firewall-cmd --add-p,6864,132,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,firewall-cmd --add-p,weak_description,high
firewall-cmd --add-port,firewall-cmd --add-port,firewall-cmd,Networking,Dodaje port,firewall-cmd --add-port=8080/tcp,6869,132,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --add-service,firewall-cmd --add-service,firewall-cmd,Networking,Dodaje usługę (runtime),firewall-cmd --add-service=http | firewall-cmd --add-service=https,6874,132,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --add-service=ssh,firewall-cmd --add-service=ssh,firewall-cmd,Networking,temporary add. CAUTION,firewall-cmd --add-service=ssh,6880,132,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
firewall-cmd --add-service=ssh --permanent,firewall-cmd --add-service=ssh --permanent,firewall-cmd,Networking,permanent add. CAUTION,firewall-cmd --add-service=ssh --permanent,6885,132,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
firewall-cmd --add-source,firewall-cmd --add-source,firewall-cmd,Networking,Dodaje źródło do strefy,firewall-cmd --add-source=192.168.1.0/24 --zone=trusted,6890,132,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --change-interface,firewall-cmd --change-interface,firewall-cmd,Networking,Zmienia strefę interfejsu,firewall-cmd --change-interface=eth1 --zone=dmz,6895,132,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --get-active-zones,firewall-cmd --get-active-zones,firewall-cmd,Networking,firewalld (RHEL/Fedora) 132,firewall-cmd --get-active-zones,6900,132,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
firewall-cmd --get-default-zone,firewall-cmd --get-default-zone,firewall-cmd,Networking,default zone. SAFE,firewall-cmd --get-default-zone,6910,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | komendy,candidate,,,,high
firewall-cmd --get-services,firewall-cmd --get-services,firewall-cmd,Networking,Lista znanych usług,firewall-cmd --get-services,6915,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --get-zones,firewall-cmd --get-zones,firewall-cmd,Networking,Dostępne strefy,firewall-cmd --get-zones,6920,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --list-all,firewall-cmd --list-all,firewall-cmd,Networking,active zone rules. SAFE,firewall-cmd --list-all,6925,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | komendy | linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
firewall-cmd --list-services,firewall-cmd --list-services,firewall-cmd,Networking,Lista aktywnych usług,firewall-cmd --list-services,6930,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --panic-off,firewall-cmd --panic-off,firewall-cmd,Networking,Wyłącza panic,firewall-cmd --panic-off,6935,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --panic-on,firewall-cmd --panic-on,firewall-cmd,Networking,Panic mode (blokuje wszystko),firewall-cmd --panic-on,6940,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --permanent,firewall-cmd --permanent,firewall-cmd,Networking,Zmiana trwała 133,firewall-cmd --add-service=http --permanent,6945,133,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --query-panic,firewall-cmd --query-panic,firewall-cmd,Networking,Stan panic,firewall-cmd --query-panic,6955,134,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --query-service,firewall-cmd --query-service,firewall-cmd,Networking,Sprawdza usługę,firewall-cmd --query-service=ssh,6960,134,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --reload,firewall-cmd --reload,firewall-cmd,Networking,reload. CAUTION,firewall-cmd --reload,6965,134,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | komendy | linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
firewall-cmd --reload losing temporary rescue rules.',firewall-cmd --reload losing temporary rescue rules.',firewall-cmd,Networking,Dangerous Mistakes,firewall-cmd --reload` losing temporary rescue rules.,6970,134,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,weak_description,medium
firewall-cmd --remov,firewall-cmd --remov,firewall-cmd,Networking,Sekcja Komend,firewall-cmd --remov,6975,134,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,firewall-cmd --remov,weak_description,high
firewall-cmd --remove-service,firewall-cmd --remove-service,firewall-cmd,Networking,Usuwa usługę,firewall-cmd --remove-service=http,6980,134,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --remove-source,firewall-cmd --remove-source,firewall-cmd,Networking,Usuwa źródło,firewall-cmd --remove-source=192.168.1.0/24,6985,134,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --runtime-to-permanent,firewall-cmd --runtime-to-permanent,firewall-cmd,Networking,Zapisuje runtime na stałe 134,firewall-cmd --runtime-to-permanent,6990,134,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,unresolved,,,likely_contamination_or_comment,low
firewall-cmd --set-d,firewall-cmd --set-d,firewall-cmd,Networking,Sekcja Komend,firewall-cmd --set-d,7000,135,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,firewall-cmd --set-d,weak_description,high
firewall-cmd --set-default-zone,firewall-cmd --set-default-zone,firewall-cmd,Networking,Ustawia domyślną,firewall-cmd --set-default-zone=drop,7005,135,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
firewall-cmd --state,firewall-cmd --state,firewall-cmd,Networking,firewalld (RHEL/Fedora),firewall-cmd --state,7010,135,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf | linux_engineering_book.md | linux_engineering_book.pdf,duplicate_existing,canonical+command_index,firewall-cmd --state,,high
